synonym,word
林溪圳,林溪圳
臺北公立醫院,臺北公立醫院
國營會,國營會
國民黨產業黨部,國民黨產業黨部
臨時省議會,臨時省議會
衛生署,衛生署
本府主計處,本府主計處
屏東縣高樹鄉民眾服務分社,屏東縣高樹鄉民眾服務分社
東京台灣貿易中心,東京台灣貿易中心
大陸救災總會,大陸救災總會
市政府財政局,市政府財政局
市進出口公會,市進出口公會
總統府臨時行政改革委員會,總統府臨時行政改革委員會
臺銀,臺銀
國民黨台灣省黨部,國民黨台灣省黨部
臺灣警備總司令部,臺灣警備總司令部
紐約中國銀行,紐約中國銀行
屏東縣政府,屏東縣政府
天主教,天主教
婦女會,婦女會
婦女反共愛國會,婦女反共愛國會
統一接收委員會,統一接收委員會
華興育幼院,華興育幼院
華山審計部,華山審計部
華僑服務社,華僑服務社
蒙聯勤總部,蒙聯勤總部
縣市黨部,縣市黨部
荷臺長,荷臺長
縣黨部,縣黨部
央行外匯局,央行外匯局
茲準省府秘書處,茲準省府秘書處
央改造委員會,央改造委員會
屏東市政府,屏東市政府
府財政廳,府財政廳
臺灣化學工業股份有限公司,臺灣化學工業股份有限公司
臺灣省保安司令部政治部,臺灣省保安司令部政治部
地政科,地政科
臺灣廣播電台接收放送協會,臺灣廣播電台接收放送協會
臺灣工礦股份有限公司,臺灣工礦股份有限公司
臺灣大學,臺灣大學
美國大通銀行,美國大通銀行
行政改革委員會,行政改革委員會
廣播電視事業協會,廣播電視事業協會
國青年黨,國青年黨
國際慈善團體組織監放團,國際慈善團體組織監放團
臺廣,臺廣
臺大醫院,臺大醫院
會計處,會計處
行政院二組,行政院二組
復興廣播電臺,復興廣播電臺
行政院研考會,行政院研考會
美利堅合眾國大使館,美利堅合眾國大使館
本行外匯局,本行外匯局
東北房地產管理局,東北房地產管理局
東北辦事處,東北辦事處
大使館,大使館
東南軍政長官公署,東南軍政長官公署
臺灣省敎育廳,臺灣省敎育廳
臺灣電臺,臺灣電臺
國民黨央廣,國民黨央廣
軍友總社,軍友總社
中央標準局,中央標準局
中央文化工作會,中央文化工作會
銓敘部,銓敘部
鈞院第二組,鈞院第二組
中央民意代表黨部,中央民意代表黨部
分電審計部,分電審計部
中央電影事業公司,中央電影事業公司
中央銀,中央銀
中央知識青年黨部,中央知識青年黨部
共產黨,共產黨
共軍,共軍
中央第三組,中央第三組
南京國防最高委員會,南京國防最高委員會
民眾服務處,民眾服務處
中央常務委,中央常務委
中央宣傳指導委員會,中央宣傳指導委員會
反共救國團組織,反共救國團組織
中央婦工會,中央婦工會
北市府國宅處,北市府國宅處
金馬運動委員會,金馬運動委員會
勞工委員會,勞工委員會
勞總幹事婦聯會,勞總幹事婦聯會
金馬前線運動委員會,金馬前線運動委員會
竹塘鄉民眾服務社,竹塘鄉民眾服務社
中央廣播事業,中央廣播事業
竹風體育俱樂部,竹風體育俱樂部
飭公產管理處,飭公產管理處
中央心戰指導會,中央心戰指導會
民青,民青
民進黨,民進黨
院新聞局,院新聞局
反共救國影響輔助其發展組織,反共救國影響輔助其發展組織
社會局,社會局
營建處台中工程處,營建處台中工程處
五院,五院
漁會,漁會
交設計委員會,交設計委員會
陸軍大學,陸軍大學
濱田彌大夫印刷機器,濱田彌大夫印刷機器
雲林縣政府,雲林縣政府
中華婦聯會,中華婦聯會
中華救助總,中華救助總
研究發展考核委員會,研究發展考核委員會
中華民國總會,中華民國總會
難胞統一領導小組,難胞統一領導小組
主計總處,主計總處
主計處第一局,主計處第一局
主計處電子處理資料中心,主計處電子處理資料中心
乃正中書局,乃正中書局
中央青工會,中央青工會
中影股份有限公司,中影股份有限公司
海軍總部,海軍總部
立學藝勵進會,立學藝勵進會
海外黨部,海外黨部
立法委員黨部,立法委員黨部
中央黨,中央黨
僑運青運,僑運青運
光復大陸設計研究委員會,光復大陸設計研究委員會
保安司令部,保安司令部
清單函日產清理處,清單函日產清理處
科學發展指導委員會,科學發展指導委員會
港九救濟委員會,港九救濟委員會
係地政局收處中財廳三科,係地政局收處中財廳三科
中央委員會財務委員會,中央委員會財務委員會
財政部國,財政部國
中國國民黨中央財務委員會,中國國民黨中央財務委員會
環境保護署,環境保護署
省政府交通處,省政府交通處
中國國民黨中央委,中國國民黨中央委
台灣省財政廳,台灣省財政廳
台灣省進出口公會聯合會,台灣省進出口公會聯合會
資委會,資委會
反共義士委員會,反共義士委員會
貴會理監事會,貴會理監事會
台灣青年文化協會,台灣青年文化協會
監委黨部,監委黨部
國家安全會議秘書處,國家安全會議秘書處
國家建設研究委員會,國家建設研究委員會
國會黨團,國會黨團
省市政府,省市政府
國民黨中央婦工會,國民黨中央婦工會
國民黨中央秘書處,國民黨中央秘書處
國民黨中央第四組,國民黨中央第四組
國民黨中央財務委員會,國民黨中央財務委員會
國民黨中改會,國民黨中改會
省府工程處,省府工程處
回民青年反共建國大同盟,回民青年反共建國大同盟
嘉義縣大林地政事務所,嘉義縣大林地政事務所
ChaseNationalBank,ChaseNationalBank
部訓練委員會,部訓練委員會
中國電影事業股份有限公司,中國電影事業股份有限公司
中國廣播公司臺灣廣播電臺,中國廣播公司臺灣廣播電臺
農會水利會,農會水利會
台北市政府財政局,台北市政府財政局
中國青年反共抗俄聯合會,中國青年反共抗俄聯合會
台北市政府工務局,台北市政府工務局
體能促進會,體能促進會
反共聯盟,反共聯盟
鄉農會,鄉農會
反布集團,反布集團
台中工程處,台中工程處
郵政電訊部門,郵政電訊部門
台北學苑,台北學苑
民報,民報
省訓團,省訓團
農會,農會
高雄市政電臺,高雄市政電臺
台灣工礦公司,台灣工礦公司
台灣工礦股份公司南勢角工廠,台灣工礦股份公司南勢角工廠
中國國民黨第8屆中央委員會常務委員會,中國國民黨第8屆中央委員會常務委員會
輔導會,輔導會
台灣省政府教育廳,台灣省政府教育廳
軍情局,軍情局
中國國民黨臺灣省黨部,中國國民黨臺灣省黨部
省日產,省日產
軍事委員會,軍事委員會
台灣省交通處,台灣省交通處
台灣省政府社會處,台灣省政府社會處
中國國民黨臺北市黨務指導員辦事處,中國國民黨臺北市黨務指導員辦事處
省社會處,省社會處
省政治綜合小組,省政治綜合小組
省教育廳,省教育廳
台灣省社會處,台灣省社會處
省民政廳,省民政廳
台灣區產業黨,台灣區產業黨
